Dato;1. Marca;2. Año fundación;3. Género;4. ¿Tiene tienda física?;5. ¿Qué mecanismo o material sustentable utiliza?;6. ¿Produce desechos contaminantes?;7. Rango de precios
1;Palosanto;2015;Femenino;Sí;Rescate de desechos textiles;No;28.900 - 250.000
2;Voz;2012;Unisex;Sí;Materiales renovables y de origen natural;Sí, pero regulado;$325 a $1.200
3;Ponte en onda;s/f;Unisex;Sí;Segunda mano;No;7.000 - 150.000
4;Nostalgic;1998;Unisex;Sí;Segunda mano;No;7.740 - 1.800.000
5;Orange Blue;1985;Unisex;Sí;Segunda mano;No;6.990 - 69.990
6;Duso Chile;2020;Femenino;No;Suprareciclaje textil;Sí, pero regulado;/
7;La Martic;2020;Unisex;Sí;Zero Waste;Sí, pero regulado;25.990 - 160.000
8;Huaman Autor;2021;Unisex;No;Textiles monomatéricos y reciclados;No;64.000 - 220.000
9;Lupe Gajardo;2009;Unisex;No;Zero Waste;Sí, pero regulado;52.000 - 2.800.000
10;12NA;2004;Unisex;No;Suprareciclaje textil;Sí, pero regulado;10.000 - 150.000
11;Roberta;2011;Femenino;Sí;Técnicas artesanales;Sí, pero regulado;31.120 - 198.900
12;Munay Sisters;2012;Femenino;No;Materiales reutilizados de origen orgánico. ;No;5.000 - 279.900
13;Sporatex;2017;Unisex;No aplica;Biotextil;No;/
14;Gnomo;2014;Unisex;Sí;Desechos post industriales;No;19.990 - 83.990
15;Nothing Please;2023;Femenino;No;Slow Fashion;Sí, pero regulado;75.000 - 141.800
16;Luna Lunera;s/f;Unisex;No;Segunda mano;No;/
17;Autunm;2010;Femenino;No;Segunda mano;No;6.500 - 25.000
18;Wildlama;2014;Unisex;Sí;Algodón orgánico y reciclaje;Sí, pero regulado;6.490 - 69.990
19;Trébol Sastrería;2010;Femenino;No;Textiles origen natural;Sí, pero regulado;65.000 - 264.000
20;Sisa;2013;Femenino;Sí;Telas y fibras naturales;Sí, pero regulado;46.800 - 458.000
